body_type,units_sold,avg_selling_price,avg_market_value,avg_profit
RAM VAN,1,1200.0,1300.0,-100.0
CAB PLUS,4,2825.0,3575.0,-750.0
CLUB CAB,178,4820.84,4817.7,3.15
XTRACAB,44,5767.05,5840.91,-73.86
CAB PLUS 4,6,8316.67,8220.83,95.83
KING CAB,532,9464.39,9630.73,-166.34
KOUP,180,9693.33,9880.0,-186.67
HATCHBACK,26237,10045.73,10202.17,-156.44
WAGON,16128,10124.68,10249.32,-124.64
REGULAR CAB,4850,10161.89,10284.65,-122.76
EXTENDED CAB,4507,11032.24,11164.16,-131.92
MINIVAN,25529,11568.81,11694.69,-125.88
SEDAN,241332,11716.56,11894.49,-177.94
ELANTRA COUPE,103,12256.8,12475.97,-219.17
SUPERCAB,5311,12777.93,12925.96,-148.03
ACCESS CAB,294,13486.39,13618.28,-131.89
VAN,4528,13890.75,13953.95,-63.2
QUAD CAB,4095,14126.6,14465.19,-338.59
G37 COUPE,12,15529.17,16491.67,-962.5
GENESIS COUPE,294,15762.24,15622.28,139.97
COUPE,17752,15927.82,16044.32,-116.5
SUV,143844,16115.92,16266.18,-150.26
REGULAR-CAB,15,17466.67,17216.67,250.0
CTS WAGON,14,17521.43,16664.29,857.14
CONVERTIBLE,10476,17840.46,18011.06,-170.59
BEETLE CONVERTIBLE,59,18114.41,18266.1,-151.69
TSX SPORT WAGON,36,18691.67,18191.67,500.0
E-SERIES VAN,1823,19109.87,19266.14,-156.27
G SEDAN,7417,19943.21,20022.67,-79.46
G37 CONVERTIBLE,20,20177.5,20635.0,-457.5
CREW CAB,16394,21649.05,21771.39,-122.34
SUPERCREW,9033,22098.39,22371.76,-273.37
G COUPE,1593,22437.73,22558.07,-120.34
PROMASTER CARGO VAN,59,22840.68,22644.07,196.61
CTS COUPE,158,22981.01,22943.35,37.66
DOUBLE CAB,1601,23161.79,23290.88,-129.09
TRANSIT VAN,19,23823.68,24615.79,-792.11
G CONVERTIBLE,323,26261.76,26257.43,4.33
CREWMAX CAB,565,26459.29,26363.1,96.19
MEGA CAB,111,28966.22,29106.53,-140.32
Q60 COUPE,36,29661.11,29561.11,100.0
Q60 CONVERTIBLE,42,36577.38,35469.05,1108.33
CTS-V COUPE,35,38682.03,39931.43,-1249.4
CTS-V WAGON,1,50500.0,42300.0,8200.0
GRANTURISMO CONVERTIBLE,13,76326.92,78384.62,-2057.69