year,avg_odometer,avg_selling_price,units_sold
1982,52071.0,12750.0,2
1983,42697.0,5250.0,1
1984,107498.0,2160.0,5
1985,80334.0,3520.0,10
1986,121618.0,2538.64,11
1987,142568.0,1512.5,8
1988,133626.0,3168.18,11
1989,121805.0,1620.0,20
1990,135767.0,1435.71,49
1991,162789.0,943.66,67
1992,159132.0,991.67,132
1993,175449.0,833.9,205
1994,160735.0,870.6,392
1995,165119.0,914.02,710
1996,165448.0,985.78,851
1997,169195.0,1157.56,1545
1998,165277.0,1263.44,2145
1999,159919.0,1534.09,3359
2000,155349.0,1829.01,5214
2001,151097.0,2132.54,6460
2002,145609.0,2613.38,9702
2003,140372.0,3448.62,13271
2004,133014.0,4322.19,17338
2005,126743.0,4893.84,21384
2006,118497.0,6191.14,26907
2007,111408.0,8021.84,30842
2008,101555.0,9508.18,31499
2009,92079.0,10462.26,20592
2010,80931.0,12413.39,26481
2011,59279.0,15851.56,48546
2012,42633.0,16653.57,102313
2013,36610.0,17476.53,98167
2014,21309.0,20090.4,81067
2015,12229.0,25966.01,9411