year,avg_condition_score,units_sold,avg_selling_price
1982,3.0,2,12750.0
1983,3.0,1,5250.0
1984,2.0,5,2160.0
1985,2.0,8,3831.25
1986,1.8,10,2652.5
1987,2.0,6,1266.67
1988,2.09,11,3168.18
1989,2.11,19,1663.16
1990,1.84,44,1312.5
1991,1.87,64,961.33
1992,1.76,122,969.06
1993,1.85,191,830.63
1994,1.8,366,876.09
1995,1.79,653,904.56
1996,1.8,759,997.79
1997,15.45,1424,1167.54
1998,15.95,1958,1273.06
1999,17.43,3071,1549.3
2000,18.58,4760,1853.87
2001,19.62,5924,2149.59
2002,21.11,8920,2644.99
2003,22.35,12328,3487.87
2004,23.45,16286,4364.08
2005,24.21,20247,4932.39
2006,25.35,25689,6223.91
2007,26.95,29704,8046.49
2008,28.17,30516,9542.26
2009,29.18,20116,10478.09
2010,30.8,26033,12427.61
2011,33.17,48049,15850.35
2012,34.54,101837,16651.6
2013,35.17,97780,17482.37
2014,32.19,80730,20113.56
2015,29.63,9384,26006.28