seller,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
wholesale enterprise inc,43,5597.67,3933.72,1663.95,36.81
century auto group,18,5611.11,4077.78,1533.33,32.36
autonation nissan memphis,15,3913.33,3021.67,891.67,26.89
autonation hyundai mall of georgia,18,3022.22,2502.78,519.44,26.06
atlantic coast remarketing inc/das,10,8970.0,7082.5,1887.5,23.98
holcomb used cars inc,29,5505.17,4387.07,1118.1,23.24
mid atlantic auto inc,19,7742.11,6151.32,1590.79,23.18
town and country motors,12,10108.33,8804.17,1304.17,21.45
bens automotive center inc,31,2333.87,1795.16,538.71,21.17
luther white bear acura,17,3185.29,2435.29,750.0,20.71
o'brien's automotive group,16,7512.5,6959.38,553.13,20.19
luther brookdale chrysler jeep dodge,12,8966.67,7983.33,983.33,20.01
lance adams auto sales llc,32,6935.94,5899.22,1036.72,19.87
toyota of kirkland,121,11976.65,10316.32,1660.33,19.43
paramount hyundai of hickory,11,10677.27,9565.91,1111.36,19.17
autocelli inc,146,12346.58,10343.84,2002.74,18.9
nalley infiniti marietta,60,5358.33,4647.92,710.42,18.86
bmw seattle,59,8125.42,6776.69,1348.73,18.7
luther brookdale toyota scion,31,6324.19,5537.9,786.29,18.57
crossroad motors llc,107,11568.22,9633.64,1934.58,18.27