body_type,units_sold,total_revenue,avg_selling_price,avg_profit
SEDAN,241332,2827580045.0,11716.56,-177.94
SUV,143844,2318177919.0,16115.92,-150.26
CREW CAB,16394,354914507.0,21649.05,-122.34
MINIVAN,25529,295340141.0,11568.81,-125.88
COUPE,17752,282750644.0,15927.82,-116.5
HATCHBACK,26237,263569910.0,10045.73,-156.44
SUPERCREW,9033,199614784.0,22098.39,-273.37
CONVERTIBLE,10476,186896701.0,17840.46,-170.59
WAGON,16128,163290866.0,10124.68,-124.64
G SEDAN,7417,147918806.0,19943.21,-79.46
,13195,112944743.0,8559.66,-79.83
SUPERCAB,5311,67863591.0,12777.93,-148.03
VAN,4528,62897335.0,13890.75,-63.2
QUAD CAB,4095,57848431.0,14126.6,-338.59
EXTENDED CAB,4507,49722325.0,11032.24,-131.92
REGULAR CAB,4850,49285175.0,10161.89,-122.76
DOUBLE CAB,1601,37082027.0,23161.79,-129.09
G COUPE,1593,35743300.0,22437.73,-120.34
E-SERIES VAN,1823,34837301.0,19109.87,-156.27
CREWMAX CAB,565,14949500.0,26459.29,96.19
G CONVERTIBLE,323,8482550.0,26261.76,4.33
KING CAB,532,5035055.0,9464.39,-166.34
GENESIS COUPE,294,4634100.0,15762.24,139.97
ACCESS CAB,294,3965000.0,13486.39,-131.89
CTS COUPE,158,3631000.0,22981.01,37.66
MEGA CAB,111,3215250.0,28966.22,-140.32
KOUP,180,1744800.0,9693.33,-186.67
Q60 CONVERTIBLE,42,1536250.0,36577.38,1108.33
CTS-V COUPE,35,1353871.0,38682.03,-1249.4
PROMASTER CARGO VAN,59,1347600.0,22840.68,196.61
ELANTRA COUPE,103,1262450.0,12256.8,-219.17
BEETLE CONVERTIBLE,59,1068750.0,18114.41,-151.69
Q60 COUPE,36,1067800.0,29661.11,100.0
GRANTURISMO CONVERTIBLE,13,992250.0,76326.92,-2057.69
CLUB CAB,178,858110.0,4820.84,3.15
TSX SPORT WAGON,36,672900.0,18691.67,500.0
TRANSIT VAN,19,452650.0,23823.68,-792.11
G37 CONVERTIBLE,20,403550.0,20177.5,-457.5
REGULAR-CAB,15,262000.0,17466.67,250.0
XTRACAB,44,253750.0,5767.05,-73.86
CTS WAGON,14,245300.0,17521.43,857.14
G37 COUPE,12,186350.0,15529.17,-962.5
CTS-V WAGON,1,50500.0,50500.0,8200.0
CAB PLUS 4,6,49900.0,8316.67,95.83
CAB PLUS,4,11300.0,2825.0,-750.0
RAM VAN,1,1200.0,1200.0,-100.0